Usia,Domisili,Nama Program,Harga Kelas,Kategori,Sub Kategori  1 (Tujuan),Sub Kategori 2 (Minat lain),Sub Kategori 3 (Minat lain),Sub Kategori 4 (Minat lain)
35,Lamongan Jatim,2 Kelas Privat (Drawing junior & Drawing level basic),100,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
6,Bandung,2 Kelas Privat (Drawing junior + coloring class),100,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
5,Tuban Jawa Timur,2 kelas privat (Drawing junior + coloring),100,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
10,Samarinda,2 Kelas Privat (Drawing level basic + Coloring class),100,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
12,Magelang,2 Kelas Privat (Drawing level basic + Coloring class),100,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
10,Temanggung ,3 kelas privat (Drawing junior + drawing level basic + coloring class),150,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
44,Karanganyar Jawa Tengah,3 Kelas Privat (Drawing junior + Drawing level basic + Drawing level advance),150,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
11,Pekanbaru Riau,3 kelas privat (Drawing level basic + Coloring class + Drawing level Advance),150,Hobi,Keterampilan Manual,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
11,Tangerang ,4 Kelas Privat (Drawing junior + Drawing level basic + Coloring class + Drawing level advance,200,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
47,Kendari,Ayam Bakar Cantik,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
42,Bengkulu,Ayam Bakar Cantik,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
40,Garut,Ayam bakar Cantik,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
35,Ambon,Ayam Bakar Cantik,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
0,Tangerang,Ayam Bakar Cantik,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
44,Balikpapan,Ayam Bakar Cantik,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
36,Ngawi Jawa Timur,Ayam Bakar Cantik,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
44,Tuban,Ayam Bakar Cantik,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
45,Ambon,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
42,Pontianak,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
36,Tangerang,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
36,Pangkalpinang,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
34,Sidoarjo,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
36,Bantul,Ayam krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
29,Mojokerto,Ayam krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
54,Ambon,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
21,Makassar,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
38,Yogyakarta,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
47,Purbalingga,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
58,Jakarta Timur,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
0,Balikpapan,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
40,Kaltim,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
52,Jakarta,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
42,Cilacap,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
0,Luhu,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
41,Jember,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
