Usia,Domisili,Nama Program,Harga Kelas,Kategori,Sub Kategori  1 (Tujuan),Sub Kategori 2 (Minat lain),Sub Kategori 3 (Minat lain),Sub Kategori 4 (Minat lain),Usia_Clean,Age_Group,Region,Price_Segment,Kategori_encoded,Region_encoded,Sub1_encoded,Sub2_encoded,Cluster
35.0,Lamongan Jatim,2 Kelas Privat (Drawing junior & Drawing level basic),100,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,35.0,Dewasa (26-35),Jawa Timur,Premium (66-100k),4,4,9,3,1
6.0,Bandung,2 Kelas Privat (Drawing junior + coloring class),100,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,6.0,Anak (≤12),Jawa Barat,Premium (66-100k),4,2,9,3,1
5.0,Tuban Jawa Timur,2 kelas privat (Drawing junior + coloring),100,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,5.0,Anak (≤12),Jawa Timur,Premium (66-100k),4,4,9,3,1
10.0,Samarinda,2 Kelas Privat (Drawing level basic + Coloring class),100,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,10.0,Anak (≤12),Kalimantan Timur,Premium (66-100k),4,5,9,3,1
12.0,Magelang,2 Kelas Privat (Drawing level basic + Coloring class),100,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,12.0,Anak (≤12),Jawa Tengah,Premium (66-100k),4,3,9,3,1
10.0,Temanggung ,3 kelas privat (Drawing junior + drawing level basic + coloring class),150,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,10.0,Anak (≤12),Jawa Tengah,Luxury (>100k),4,3,9,3,1
44.0,Karanganyar Jawa Tengah,3 Kelas Privat (Drawing junior + Drawing level basic + Drawing level advance),150,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,44.0,Dewasa Menengah (36-45),Jawa Tengah,Luxury (>100k),4,3,9,3,1
11.0,Pekanbaru Riau,3 kelas privat (Drawing level basic + Coloring class + Drawing level Advance),150,Hobi,Keterampilan Manual,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",11.0,Anak (≤12),Lainnya,Luxury (>100k),4,6,5,2,2
11.0,Tangerang ,4 Kelas Privat (Drawing junior + Drawing level basic + Coloring class + Drawing level advance,200,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,11.0,Anak (≤12),Jabodetabek,Luxury (>100k),4,1,9,3,2
47.0,Kendari,Ayam Bakar Cantik,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,47.0,Dewasa Tua (>45),Sulawesi,Standard (31-65k),5,8,8,1,1
